change;class_year;zone_code;ENV_pollutant;adjustment_type;attainment_final;attainment;deduction_method_type;natural_source_type;link_adjustment_model;exc_number_max;exc_value_max;exc_spatial_extent;exc_area;exc_road_length;exc_exp_population;exc_veg_area;exc_exp_ref_year
;2013;NL0310;Ni;;N;N;;;;;;;;;;;
;2013;NL0310;NO2_all;;N;N;;;;;;;;;;;
;2013;NL0310;NO2_all_LVMT;;N;N;;;;;;;;;;;
;2013;NL0310;NO2_hour;;N;N;;;;;;;;;;;
;2013;NL0310;NO2_hour_LVMT;;N;N;;;;;;;;;;;
;2013;NL0310;O3-H_LTO;;N;N;;;;;;;;;;;
;2013;NL0310;O3-H_TV;;N;N;;;;;;;;;;;
;2013;NL0310;O3-V_LTO;;N;N;;;;;;;;;;;
;2013;NL0310;O3-V_TV;;N;N;;;;;;;;;;;
;2013;NL0310;Pb;;N;N;;;;;;;;;;;
;2013;NL0310;PM10_all;;N;N;;;;;;;;;;;
;2013;NL0310;PM10_day;;N;N;;;;;;;;;;;
;2013;NL0310;PM2.5_ECO;;N;N;;;;;;;;;;;
;2013;NL0310;PM2.5_ERT;;N;N;;;;;;;;;;;
;2013;NL0310;PM2.5_LV;;N;N;;;;;;;;;;;
;2013;NL0310;PM2.5_LVMT;;N;N;;;;;;;;;;;
;2013;NL0310;SO2-H_day;;N;N;;;;;;;;;;;
;2013;NL0310;SO2-H_hour;;N;N;;;;;;;;;;;
;2013;NL0320;As;;N;N;;;;;;;;;;;
;2013;NL0320;BaP;;N;N;;;;;;;;;;;
;2013;NL0320;Benzene;;N;N;;;;;;;;;;;
;2013;NL0320;Benzene_LVMT;;N;N;;;;;;;;;;;
;2013;NL0320;Cd;;N;N;;;;;;;;;;;
;2013;NL0320;CO;;N;N;;;;;;;;;;;
;2013;NL0320;Ni;;N;N;;;;;;;;;;;
;2013;NL0320;NO2_all;;N;N;;;;;;;;;;;
;2013;NL0320;NO2_all_LVMT;;N;N;;;;;;;;;;;
;2013;NL0320;NO2_hour;;N;N;;;;;;;;;;;
;2013;NL0320;NO2_hour_LVMT;;N;N;;;;;;;;;;;
;2013;NL0320;O3-H_LTO;;N;N;;;;;;;;;;;
;2013;NL0320;O3-H_TV;;N;N;;;;;;;;;;;
;2013;NL0320;O3-V_LTO;;N;N;;;;;;;;;;;
;2013;NL0320;O3-V_TV;;N;N;;;;;;;;;;;
;2013;NL0320;Pb;;N;N;;;;;;;;;;;
;2013;NL0320;PM10_all;;N;N;;;;;;;;;;;
;2013;NL0320;PM10_day;;N;N;;;;;;;;;;;
;2013;NL0320;PM2.5_ECO;;N;N;;;;;;;;;;;
;2013;NL0320;PM2.5_ERT;;N;N;;;;;;;;;;;
;2013;NL0320;PM2.5_LV;;N;N;;;;;;;;;;;
;2013;NL0320;PM2.5_LVMT;;N;N;;;;;;;;;;;
;2013;NL0320;SO2-H_day;;N;N;;;;;;;;;;;
;2013;NL0320;SO2-H_hour;;N;N;;;;;;;;;;;
