GMLID,LocalId,Namespace,Version,NatlStationCode,Name,Municipality,EUStationCode,ActivityBegin,ActivityEnd,Lat,Lon,SRSName,Altitude,AltitudeUnit,AreaClassification,BelongsTo
STA-NL00493,STA-NL00493,NL.RIVM.AQ,,RDS,Rotterdam Noord -Statenweg,Rotterdam,NL00493,2005-02-01 00:00:00+01:00,,51.92694473,4.46166658,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/unknown,
STA-NL00495,STA-NL00495,NL.RIVM.AQ,,MSL,Maassluis-Kwartellaan,Maassluis,NL00495,1974-01-01 00:00:00+01:00,,51.9319458,4.22777796,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00496,STA-NL00496,NL.RIVM.AQ,,HHB,Hoek v. Holland-Berghaven,Rotterdam,NL00496,2007-08-01 00:00:00+01:00,,51.97805786,4.12138891,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/unknown,
STA-NL00703,STA-NL00703,NL.RIVM.AQ,,703,Amsterdam-Spaarnwoude,Haarlemmerliede c.a.,NL00703,2008-12-01 00:00:00+01:00,,52.40000153,4.73000002,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00442,STA-NL00442,NL.RIVM.AQ,,442,Dordrecht-Bamendaweg,Dordrecht,NL00442,2010-10-01 00:00:00+01:00,,51.80065918,4.70821381,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00821,STA-NL00821,NL.RIVM.AQ,,821,Enschede-Winkelhorst,Enschede,NL00821,2010-06-21 00:00:00+01:00,,52.23450089,6.91949415,urn:ogc:def:crs:EPSG:4258,38,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00704,STA-NL00704,NL.RIVM.AQ,,704,Amsterdam-Hoogtij,Zaanstad,NL00704,2009-01-01 00:00:00+01:00,,52.43000031,4.76999998,urn:ogc:def:crs:EPSG:4258,4,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00312,STA-NL00312,NL.RIVM.AQ,,312,Axel-Zaaidijk,,NL00312,2010-01-12 00:00:00+01:00,,51.284534,3.91538056,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00319,STA-NL00319,NL.RIVM.AQ,,319,Nieuwdorp-Coudorp,Vlissingen,NL00319,2010-02-12 00:00:00+01:00,,51.464383,3.745008,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,
STA-NL00543,STA-NL00543,NL.RIVM.AQ,,543,Amsterdam-Overtoom RIVM,,NL00543,2007-10-26 00:00:00+01:00,2012-01-01 00:00:00+01:00,52.36,4.866,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00432,STA-NL00432,NL.RIVM.AQ,,432,Hoek van Holland-Berghaven,,NL00432,2007-09-11 00:00:00+01:00,2013-08-07 00:00:00+01:00,51.977442,4.121031,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00546,STA-NL00546,NL.RIVM.AQ,,546,Zaanstad-Hemkade,,NL00546,2007-12-19 00:00:00+01:00,,52.420219,4.832064,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00551,STA-NL00551,NL.RIVM.AQ,,551,Ijmuiden-Kanaaldijk,Velsen,NL00551,2010-01-01 00:00:00+01:00,,52.46302,4.601922,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00556,STA-NL00556,NL.RIVM.AQ,,556,De Rijp-Oostdijkje,Graft-De Rijp,NL00556,2010-01-01 00:00:00+01:00,,52.56359,4.8617,urn:ogc:def:crs:EPSG:4258,1,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural(-regional),
