"URI","Label","Definition","Notation","StartDate","EndDate","hasProtectionTarget","hasProtectionTarget","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","recommendedUnit","recommendedUnit","skos:altLabel","skos:altLabel@bg","skos:scopeNote","skos:scopeNote"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1657","potassium in PM2.5 (aerosol)","K+ in PM2.5 - recommended unit: µg/m3","K+ in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"K+ in PM2.5",,"2011/850/EU",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1659","magnesium in PM2.5 (aerosol)","Mg2+ in PM2.5 - recommended unit: µg/m3","Mg2+ in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"Mg2+ in PM2.5",,"2011/850/EU",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1668","sodium in PM2.5 (aerosol)","Na+ in PM2.5 - recommended unit: µg/m3","Na+  in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"Na+  in PM2.5",,"2011/850/EU",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/17","Manganese (aerosol)","Mn - recommended unit: ng/m3","Mn","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Mn",,"Reciprocal exchange",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1759","Benzo(j)fluoranthene in PM2.5 (aerosol)","Benzo(j)fluoranthene in PM2.5 - recommended unit: ng/m3","Benzo(j)fluoranthene in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Benzo(j)fluoranthene in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1771","Elemental carbon in PM2.5 (aerosol)","EC in PM2.5 - recommended unit: µg/m3","EC in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"EC in PM2.5",,"2011/850/EU",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1772","Organic carbon in PM2.5 (aerosol)","OC in PM2.5 - recommended unit: µg/m3","OC in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"OC in PM2.5",,"2011/850/EU",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/18","Arsenic (aerosol)","As - recommended unit: ng/m3","As","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"As",,"Reciprocal exchange",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/19","Carbon disulphide (air)","CS2 - recommended unit: µg/m3","CS2","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"CS2",,"Reciprocal exchange",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20","Benzene (air)","C6H6 - recommended unit: µg/m3","C6H6","2013-09-20","","http://dd.eionet.europa.eu/vocabulary/aq/protectiontarget/H",,"http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/CP7001-BTX","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GC5000BTX-FID","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GC5000BTX-PID","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GC855BTX","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GC855BTX-600","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GC955","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GC955-600","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GC955-800","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/VOC71M","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/VOC72M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,,"C6H6","2011/850/EU",
